GeoPoint
"-37.79071588912411, 144.93133591306318"
"-37.790595235699996, 144.92784803634999"
"-37.7901496101, 144.92777658685"
"-37.789290056249996, 144.92293792754998"
"-37.789446398799996, 144.9226955825"
"-37.7899379592, 144.92531970275002"
"-37.79055238490945, 144.9431593874771"
"-37.7904076437, 144.94234420650002"
"-37.791347203399994, 144.9355486408"
"-37.7901660251, 144.9426796963"
"-37.7901293413, 144.94263249055"
"-37.78993802154284, 144.9326904460632"
"-37.7900123888, 144.92729528635"
"-37.78988541799999, 144.935822719"
"-37.78978942475, 144.93102936335"
"-37.7898020484, 144.9311607114"
"-37.789821487, 144.93136256135"
"-37.78982426020001, 144.93437777205"
"-37.78967926035, 144.9336333325"
"-37.7899477808, 144.93351155994998"
"-37.78986808995, 144.94320063"
"-37.79010485915, 144.94349660695002"
"-37.79020688795, 144.9436241504"
"-37.7895321468, 144.92548812965"
"-37.7896907235, 144.9256417061"
"-37.7891946699, 144.92402256424998"
"-37.78947841345, 144.92435349315002"
"-37.78961208295, 144.94036066705002"
"-37.7898809455, 144.9403146697"
"-37.7893651501, 144.94051045729998"
"-37.7890805321, 144.9230321865"
"-37.7892092494, 144.9390674411"
"-37.78797167179152, 144.94511482292725"
"-37.7902742596535, 144.94435278508175"
"-37.78916786085, 144.93992092585"
"-37.7880430125, 144.95928728575"
"-37.78874490375, 144.92889994540002"
"-37.7886337359, 144.9320432102"
"-37.78873244183785, 144.93472344072282"
"-37.7887389526, 144.9311424057"
"-37.78954636429726, 144.929906935906"
"-37.7885199958, 144.9270270097"
"-37.78856251378858, 144.9330261415455"
"-37.78843461515, 144.93123572744997"
"-37.788262203100004, 144.92745847495001"
"-37.7883915788, 144.9307810645"
"-37.788262782000004, 144.92951220330002"
"-37.78841120725, 144.94323068345"
"-37.787833206399995, 144.9424765802"
"-37.7883132394, 144.94132370609998"
"-37.787768214218495, 144.94068785389427"
"-37.787753131049996, 144.9424572653"
"-37.7863730385, 144.9395636661"
"-37.78754993435, 144.95731375169999"
"-37.7864512181, 144.94092994035"
"-37.78523113308194, 144.94909753159186"
"-37.78552891, 144.9532084203"
"-37.78540916835, 144.9676967501"
"-37.78545427468906, 144.96313684150473"
"-37.784109422650005, 144.94042098715"
"-37.784093007950005, 144.9404123142"
"-37.7814347724, 144.91535706144998"
"-37.7825886287, 144.9532905035"
"-37.78097385265, 144.9577666561"
"-37.7802395063, 144.9404459309"
"-37.78817825780952, 144.90451924181997"
"-37.78054838613328, 144.9628935197696"
"-37.779393809249996, 144.9603554622"
"-37.778809466016355, 144.94295313346225"
"-37.7792720287649, 144.93999636543523"
"-37.77999105395, 144.9399792106"
"-37.778055428749994, 144.93972795675"
"-37.77870841550886, 144.96233044271273"
"-37.7782642429, 144.96202968745"
"-37.7780088806, 144.94254473864999"
"-37.77752091795, 144.94134160725"
"-37.7793718163108, 144.96239336279754"
"-37.777569633249996, 144.94194837615"
"-37.77754416591184, 144.94174568734766"
"-37.775924433386976, 144.94373065955028"
"-37.77612080015, 144.9434604904"
"-37.85036748088488, 144.98063965422293"
"-37.838233337350005, 144.9865363015"
"-37.8376789646, 144.98209283125"
"-37.83766667415, 144.9820007086"
"-37.83762828825, 144.9817109595"
"-37.83784377565, 144.98173396515"
"-37.83461197455, 144.9854783024"
"-37.834599601549996, 144.98551606975002"
"-37.83459242325, 144.98539931570002"
"-37.83427110235, 144.982849029"
"-37.833602076011196, 144.97892559639058"
"-37.83350827785, 144.9781996586"
"-37.83333850851638, 144.97690831559976"
"-37.833245664100005, 144.97620471285"
"-37.83291763545, 144.97363565875"
"-37.83277354005, 144.97262806650002"
"-37.8330337977, 144.97293598965"
"-37.8330051689, 144.9729459438"
"-37.83288598465, 144.97230419329998"
"-37.832635507099994, 144.9722099115"
"-37.8312716924224, 144.98805951958747"
"-37.83066083404973, 144.98802542279012"
"-37.827390933100006, 144.9581813548"
"-37.8242187468, 144.9583977023"
"-37.824651958422635, 144.9578516216468"
"-37.8246470735, 144.9889953005"
"-37.82406759845, 144.96249924710003"
"-37.823984715899996, 144.96259867385"
"-37.824129342549995, 144.96283110964998"
"-37.82427043365, 144.9630214526"
"-37.8243175141, 144.96308496749998"
"-37.82446479775, 144.96328366665"
"-37.82410905724681, 144.96323984573434"
"-37.82387707395, 144.96292304745"
"-37.82364593, 144.96759464365"
"-37.823925241750004, 144.9825147919"
"-37.82349628895, 144.96614298445"
"-37.82348938165, 144.96607431914998"
"-37.8230245727, 144.97082820355"
"-37.822771044250004, 144.97142678105"
"-37.82229053922282, 144.9722037143293"
"-37.82143981270916, 144.96123376742395"
"-37.82113328495, 144.9474700856"
"-37.82142237391508, 144.94768407207727"
"-37.82109794735, 144.94762527605002"
"-37.821399411200005, 144.9671052923"
"-37.8212375505, 144.96688848395002"
"-37.82112086985, 144.96715187435"
"-37.8206527923, 144.9578623012"
"-37.8194859914, 144.95996398395"
"-37.819342296100004, 144.9609295601"
"-37.8192704759, 144.9606816986"
"-37.8175418458, 144.96720691870001"
"-37.817260258000005, 144.96769577135"
"-37.8172794453, 144.95629227265"
"-37.8170204914, 144.9530352003"
"-37.81676497635, 144.98994446289998"
"-37.8165119189, 144.98999321575002"
